,Category,Rating,Reviews,Installs,Price,Content Rating
0,0,4.1,159,10000,0.0,1
1,0,3.9,967,500000,0.0,1
2,0,4.7,87510,5000000,0.0,1
3,0,4.5,215644,50000000,0.0,2
4,0,4.3,967,100000,0.0,1
5,0,4.4,167,50000,0.0,1
6,0,3.8,178,50000,0.0,1
7,0,4.1,36815,1000000,0.0,1
8,0,4.4,13791,1000000,0.0,1
9,0,4.7,121,10000,0.0,1
10,0,4.4,13880,1000000,0.0,1
11,0,4.4,8788,1000000,0.0,1
12,0,4.2,44829,10000000,0.0,2
13,0,4.6,4326,100000,0.0,1
14,0,4.4,1518,100000,0.0,1
15,0,3.2,55,5000,0.0,1
16,0,4.7,3632,500000,0.0,1
17,0,4.5,27,10000,0.0,1
18,0,4.3,194216,5000000,0.0,1
19,0,4.6,224399,10000000,0.0,1
20,0,4.0,450,100000,0.0,1
21,0,4.1,654,100000,0.0,1
22,0,4.7,7699,500000,0.0,3
23,0,2.5,61,100000,0.0,1
24,0,4.7,118,50000,0.0,1
25,0,4.8,192,10000,0.0,1
26,0,4.7,20260,500000,0.0,1
27,0,4.1,203,100000,0.0,1
28,0,3.9,136,10000,0.0,1
29,0,4.1,223,100000,0.0,1
30,0,4.2,1120,100000,0.0,1
31,0,4.1,227,50000,0.0,1
32,0,4.5,5035,100000,0.0,1
33,0,4.2,1015,100000,0.0,1
34,0,4.7,353,10000,0.0,2
35,0,3.8,564,100000,0.0,1
36,0,4.7,8145,500000,0.0,1
37,0,4.1,36639,5000000,0.0,1
38,0,4.7,158,10000,0.0,1
39,0,4.0,591,500000,0.0,1
40,0,4.2,117,10000,0.0,1
41,0,4.5,176,100000,0.0,1
42,0,4.4,295221,10000000,0.0,1
43,0,3.8,2206,100000,0.0,1
44,0,4.2,26,10000,0.0,1
45,0,4.7,174531,10000000,0.0,1
46,0,4.6,1070,100000,0.0,1
47,0,4.2,85,100000,0.0,1
48,0,4.3,845,100000,0.0,1
49,1,4.2,367,100000,0.0,1
50,1,4.0,1598,1000000,0.0,1
51,1,3.8,284,100000,0.0,1
52,1,4.6,17057,1000000,0.0,1
53,1,3.9,129,100000,0.0,1
54,1,4.3,542,100000,0.0,1
55,1,4.9,10479,100000,0.0,1
56,1,4.4,805,50000,0.0,1
57,1,4.2,129,100000,0.0,1
58,1,4.0,1403,100000,0.0,1
59,1,3.9,3971,100000,0.0,1
60,1,4.6,534,10000,0.0,1
61,1,4.9,7774,100000,0.0,1
62,1,4.3,38846,1000000,0.0,1
63,1,4.6,2431,100000,0.0,1
64,1,4.9,6090,100000,0.0,1
65,1,3.9,295,10000,0.0,1
66,1,4.0,190,50000,0.0,1
67,1,4.3,40211,5000000,0.0,1
68,1,3.9,356,100000,0.0,1
69,1,4.2,52530,5000000,0.0,1
70,1,4.8,116986,5000000,0.0,1
71,1,3.6,1379,500000,0.0,1
72,1,4.2,271920,10000000,0.0,2
73,1,4.8,736,100000,0.0,1
74,1,4.8,7021,500000,0.0,1
75,1,4.6,197,50000,0.0,1
76,1,4.5,737,100000,0.0,1
77,1,4.3,3574,1000000,0.0,3
78,1,4.5,994,100000,0.0,1
79,1,4.9,197136,1000000,0.0,1
80,1,3.9,142,50000,0.0,1
81,1,4.4,15168,1000000,0.0,1
82,1,4.0,2155,500000,0.0,1
83,1,4.3,138,100000,0.0,1
84,1,3.7,5414,1000000,0.0,1
85,1,4.4,21777,1000000,0.0,1
86,1,4.3,348,100000,0.0,1
87,1,3.2,250,100000,0.0,1
88,1,4.6,13372,1000000,0.0,1
89,1,4.6,7880,100000,0.0,1
90,1,4.5,3617,100000,0.0,1
91,1,3.7,4806,1000000,0.0,1
92,1,4.6,65786,1000000,0.0,1
93,1,4.6,31433,1000000,0.0,1
94,1,4.6,5097,1000000,0.0,1
95,1,4.0,1754,500000,0.0,1
96,1,4.4,2680,500000,0.0,1
97,1,4.0,1288,100000,0.0,1
98,2,4.7,18900,500000,0.0,1
99,2,4.9,49790,1000000,0.0,1
100,2,4.7,1150,100000,0.0,1
101,2,3.9,1739,500000,0.0,1
102,2,3.9,32090,1000000,0.0,1
103,2,4.2,2225,500000,0.0,1
104,2,4.6,4369,100000,0.0,1
105,2,4.3,8572,1000000,0.0,1
106,2,4.7,964,50000,0.0,1
107,2,4.7,42050,1000000,0.0,1
108,2,4.8,104,10000,0.0,1
109,2,4.2,17934,1000000,0.0,1
110,2,4.3,601,100000,0.0,1
111,2,4.5,36,10000,0.0,1
112,2,4.1,187,50000,0.0,2
113,2,2.5,182,100000,0.0,3
114,2,4.2,30,10000,0.0,1
115,2,4.5,134,10000,0.0,1
116,2,4.4,74,10000,0.0,1
117,2,4.0,113715,10000000,0.0,1
118,2,4.1,3595,500000,0.0,1
119,2,4.1,9315,1000000,0.0,1
120,2,4.4,75,50000,0.0,1
121,2,4.6,38,10000,0.0,1
122,2,4.5,26834,1000000,0.0,1
123,2,2.5,119,50000,0.0,1
124,2,3.9,2277,500000,0.0,1
125,2,4.4,2280,500000,0.0,1
126,2,2.5,654,100000,0.0,2
127,2,4.6,184,10000,0.0,1
128,2,3.8,9,5000,0.0,1
129,2,2.5,77,10000,0.0,4
130,2,2.5,35,10000,0.0,3
131,2,4.0,364,100000,0.0,1
132,2,4.3,18,5000,0.0,1
133,2,4.5,473,100000,0.0,4
134,2,2.5,30,10000,0.0,4
135,2,4.1,66,10000,0.0,1
136,2,3.7,3871,1000000,0.0,1
137,2,4.7,257,50000,0.0,1
138,2,4.2,62,10000,0.0,1
139,3,4.6,2914724,100000000,0.0,2
140,3,4.5,1857,50000,0.0,1
141,3,4.6,4478,100000,0.0,3
142,3,4.4,577550,10000000,0.0,1
143,3,4.2,814080,100000000,0.0,2
144,3,4.5,246315,10000000,0.0,1
145,3,4.5,454060,10000000,0.0,1
146,3,4.5,155446,10000000,0.0,2
147,3,4.5,418,100000,0.0,1
148,3,4.4,22486,1000000,0.0,2
149,3,4.5,203130,10000000,0.0,1
150,3,4.6,1435,500000,0.0,1
151,3,4.8,116507,1000000,0.0,2
152,3,3.9,1433233,1000000000,0.0,2
153,3,4.6,90468,5000000,0.0,1
154,3,4.2,860,100000,0.0,1
155,3,4.1,363934,10000000,0.0,1
156,3,4.7,967,500000,0.0,1
157,3,4.2,87873,10000000,0.0,2
158,3,4.3,17506,1000000,0.0,1
159,3,3.3,1862,1000000,0.0,1
160,3,4.6,2084,500000,0.0,1
161,3,4.8,47303,1000000,0.0,1
162,3,4.7,19080,500000,0.0,1
163,3,2.5,161,10000,0.0,1
